crash_numb,city_town_name,crash_date,crash_severity_descr,crash_status,crash_time_2,max_injr_svrty_cl,numb_vehc,numb_fatal_injr,numb_nonfatal_injr,weath_cond_descr,speed_limit,lat,lon,dist_dirc_exit,vehc_unit_numb,driver_age,max_injr_svrty_vl,total_occpt_in_vehc,pers_numb,age,injy_stat_descr
"4508784","BOSTON","02/03/2018","Non-fatal injury","Closed","11:55 AM","Non-fatal injury - Non-incapacitating","2","0","2","Clear","","42.32687673","-71.06693547","","1","31","Non-fatal injury - Non-incapacitating","1","1","31","Non-fatal injury - Non-incapacitating"
"4508784","BOSTON","02/03/2018","Non-fatal injury","Closed","11:55 AM","Non-fatal injury - Non-incapacitating","2","0","2","Clear","","42.32687673","-71.06693547","","2","28","Non-fatal injury - Non-incapacitating","5","2","28","Non-fatal injury - Non-incapacitating"
"4508784","BOSTON","02/03/2018","Non-fatal injury","Closed","11:55 AM","Non-fatal injury - Non-incapacitating","2","0","2","Clear","","42.32687673","-71.06693547","","2","28","Non-fatal injury - Non-incapacitating","5","3","36","No injury"
"4508784","BOSTON","02/03/2018","Non-fatal injury","Closed","11:55 AM","Non-fatal injury - Non-incapacitating","2","0","2","Clear","","42.32687673","-71.06693547","","2","28","Non-fatal injury - Non-incapacitating","5","4","","No injury"
"4508784","BOSTON","02/03/2018","Non-fatal injury","Closed","11:55 AM","Non-fatal injury - Non-incapacitating","2","0","2","Clear","","42.32687673","-71.06693547","","2","28","Non-fatal injury - Non-incapacitating","5","5","","No injury"
"4508786","BOSTON","02/01/2018","Property damage only (none injured)","Closed","2:14 PM","No injury","2","0","0","Cloudy","25","42.35891360","-71.05780232","","1","29","No injury","1","1","29","No injury"
"4508786","BOSTON","02/01/2018","Property damage only (none injured)","Closed","2:14 PM","No injury","2","0","0","Cloudy","25","42.35891360","-71.05780232","","2","31","No injury","1","2","31","No injury"
"4508788","BOSTON","02/07/2018","Property damage only (none injured)","Closed","7:41 PM","No injury","1","0","0","Rain/Sleet, hail (freezing rain or drizzle)","25","42.32492527","-71.07527837","","1","71","No injury","1","1","71","No injury"
"4508788","BOSTON","02/07/2018","Property damage only (none injured)","Closed","7:41 PM","No injury","1","0","0","Rain/Sleet, hail (freezing rain or drizzle)","25","42.32492527","-71.07527837","","","","","","2","59","Unknown"
"4508790","BOSTON","02/10/2018","Property damage only (none injured)","Closed","11:48 PM","No injury","2","0","0","Rain","","42.31829584","-71.07781405","","1","54","No injury","1","1","54","No injury"
"4508790","BOSTON","02/10/2018","Property damage only (none injured)","Closed","11:48 PM","No injury","2","0","0","Rain","","42.31829584","-71.07781405","","2","68","No injury","1","2","68","No injury"
"4508791","BOSTON","02/08/2018","Non-fatal injury","Closed","11:35 PM","Non-fatal injury - Incapacitating","4","0","6","Clear","","42.30527741","-71.08474055","","1","59","Non-fatal injury - Possible","1","1","59","Non-fatal injury - Possible"
